Model Name,Condition,f1,precision,recall,easy_f1,medium_f1,hard_f1,knowledge_f1,logic_f1,n_rows,corpus
qwen2.5:7b-instruct,baseline,0.584,0.591,0.578,0.844,0.562,0.435,0.444,0.62,90,
qwen2.5:7b-instruct,oracle,0.825,0.788,0.867,0.936,0.896,0.693,0.905,0.803,90,
qwen2.5:7b-instruct,rag,0.621,0.552,0.711,0.68,0.633,0.571,0.6,0.628,90,
qwen2.5:7b-instruct,cot,0.634,0.53,0.789,0.772,0.633,0.545,0.571,0.651,90,
qwen2.5:7b-instruct,rag+cot,0.64,0.5,0.889,0.708,0.637,0.596,0.644,0.639,90,
qwen2.5:7b-instruct,oracle+rag,0.816,0.82,0.811,0.933,0.862,0.696,0.85,0.806,90,
llama3.1:8b,baseline,0.511,0.791,0.378,0.722,0.571,0.292,0.5,0.515,90,
llama3.1:8b,oracle,0.699,0.943,0.556,0.8,0.778,0.531,0.625,0.721,90,
llama3.1:8b,rag,0.511,0.745,0.389,0.647,0.528,0.4,0.529,0.505,90,textbooks
llama3.1:8b,cot,0.576,0.5,0.68,0.923,0.632,0.37,0.5,0.596,25,
llama3.1:8b,rag+cot,0.59,0.5,0.72,0.769,0.667,0.467,0.857,0.511,25,textbooks
